Year,Total_Returns,AgeClass_0.1,AgeClass_0.2,AgeClass_0.3,AgeClass_0.4,AgeClass_0.5,AgeClass_1.1,AgeClass_1.2,AgeClass_1.3,AgeClass_1.4,AgeClass_1.5,AgeClass_2.1,AgeClass_2.2,AgeClass_2.3,AgeClass_2.4,AgeClass_3.1,AgeClass_3.2,AgeClass_3.3,AgeClass_3.4,Total_Returns_NextYear,Pacea_ALPI_Anomaly,npi_mean_NovMar,oni_mean_DecFeb,npgo_mean_DecFeb,ao_mean_DecMar,pdo_mean_DecMar,pdo_mean_MaySep,sss_mayaug,River_Alagnak,River_Egegik,River_Igushik,River_Kvichak,River_Naknek,River_Nushagak,River_Ugashik,River_Wood
1973,63552.9693707139,0.0,0.0,5.57891903016334e-10,0.0,0.0,4.46384640164427e-10,1353.56258474515,52504.168379925,3.34789470951019e-10,0.0,0.0,685.373335848824,9009.8650701927,0.0,0.0,4.46309930385454e-10,4.46313522383945e-10,0.0,247579.730446879,-1.62,1009.514,28.27,-0.4380004316666667,0.94825,-0.4875,-1.408,31.752411885048023,1,0,0,0,0,0,0,0
1974,247579.730446879,0.0,0.0,0.0,0.0,0.0,1232.55460274746,78027.4800440757,54756.5338009252,2129.56933443022,0.0,9.26187812321765e-10,108529.167421717,2904.42524298189,0.0,0.0,9.262884038438212e-10,0.0,0.0,112656.701619766,1.04,1009.06,24.72,-0.3501739266666667,-0.296,-1.085,-0.126,31.8275206551623,1,0,0,0,0,0,0,0
1975,112656.701619766,0.0,0.0,0.0,0.0,0.0,1462.13105593817,28837.9158028944,58491.2016343907,0.0,0.0,0.0,8320.09275050936,15545.3603760262,2.4791339150832603e-09,0.0,2.47915481636527e-09,2.47916549875804e-09,0.0,157449.670683924,-1.84,1010.026,25.95,0.7798425266666666,0.624,-0.595,-1.538,31.967273043162788,1,0,0,0,0,0,0,0
1976,157449.670683924,0.0,1.0279032473947202e-09,1.02731764771877e-09,0.0,0.0,0.0,70319.7172587099,56203.8034880226,0.0,0.0,1.0263018204556e-09,30123.1698122469,802.980124938575,1.02686710825617e-09,0.0,1.0279032473947202e-09,1.02731764771877e-09,0.0,234915.33416411,-1.12,1010.094,25.05,1.1134298666666669,0.8917499999999999,-1.2225,-0.132,31.673317617444848,1,0,0,0,0,0,0,0
1977,234915.33416411,0.0,6.41137435373797e-09,6.869425243487451e-09,0.0,0.0,0.0,2.10659443090841e-08,27572.1609527256,0.0,0.0,0.0,2.97670952157567e-08,207343.173211308,0.0,0.0,6.41137435373797e-09,6.411463560956291e-09,0.0,1110702.15448368,3.03,1005.954,27.25333333333333,1.5284769666666669,-1.87675,1.1425,-0.246,31.35712027193895,1,0,0,0,0,0,0,0
1978,1110702.15448368,0.0,0.0,1910.67000745713,3098.54886380714,0.0,0.0,722581.359778921,6686.6405200102,1.49688610441306e-08,0.0,6.38785807830887e-08,350599.519763644,2.13645956369201e-07,1.01039812050492e-07,0.0,24813.5473463369,1011.86820311078,0.0,1620186.93918502,2.32,1006.492,27.15,1.1045353533333333,-0.7747499999999999,0.6074999999999999,-0.442,31.65110269945059,1,0,0,0,0,0,0,0
1979,1620186.93918502,0.0,2.46825439341932e-08,0.0,0.0,0.0,3.79470672674585e-08,8.16422606991052e-08,2.8488228459525e-08,1377.89295868572,0.0,3.22550071716767e-08,1551297.18495049,3.79843046161305e-08,0.0,0.0,67511.8612755955,7.59686092322609e-09,0.0,855660.862369649,-0.99,1010.552,26.56,-0.62114414,-1.181,-0.7150000000000001,0.4039999999999999,31.791077236631025,1,0,0,0,0,0,0,0
1980,855660.862369649,0.0,0.01001323529726,77257.4712808192,0.0,0.0,163393.681931834,0.0130203502526552,467274.994785132,1866.97784643386,0.0,1.46139377608859,0.0242000187400006,0.212863893700389,0.0,62200.6104823183,0.139271382524344,83665.2652804554,0.0,667234.69757733,1.67,1007.686,27.08333333333333,-1.3888758966666668,-0.7845,0.3299999999999999,-0.0679999999999999,31.5642614364624,1,0,0,0,0,0,0,0
1981,667234.69757733,0.0,0.0,3286.81206641765,0.0,0.0,0.0,2.87778014771251e-07,157897.417413923,0.0,0.0,0.0,1.89349592362714e-06,492798.395639225,0.0,0.0,8.341391733827e-09,13252.0724555749,0.0,1345575.81985953,5.09,1004.438,26.37333333333333,-0.53494929,-0.5375,0.985,0.862,31.60312337306008,1,0,0,0,0,0,0,0
1982,1345575.81985953,0.0,0.0,8.486417658112341e-09,0.0,0.0,0.0,561752.380683031,689174.639419491,2.20647459856215e-08,0.0,0.0,2.63081103636135e-08,94648.7997569247,2.29133900654207e-08,0.0,0.0,0.0,0.0,2664575.17756896,-3.21,1010.602,26.64,-0.1840691733333333,-0.0127499999999999,0.0349999999999999,-0.33,31.6152804075782,1,0,0,0,0,0,0,0
1983,2664575.17756896,0.0,0.0,1044.81687113527,0.0,0.0,0.0,947783.062132826,1026219.17470876,3.5584400418184e-08,0.0,16623.3375478586,512955.087149749,145046.234689796,14903.464468783,0.0,6.6720754629661415e-09,6.6720748779757e-09,0.0,1193249.44342189,6.69,1003.46,28.766666666666666,0.2813847666666667,-0.01175,0.815,1.406,31.75786072460573,1,0,0,0,0,0,0,0
1984,1193249.44342189,0.0,0.0,4639.55552324307,6.425860241904291e-09,0.0,0.0,1.71255923882087e-08,81154.7648968063,15371.0608474303,0.0,5.1303709269791e-08,1047576.63469065,2.14151240254241e-08,0.0,0.0,42749.6853914668,1757.74207219621,0.0,843580.108726095,1.68,1006.28,26.01333333333333,-0.1640481899999999,-0.3995,1.4825,0.116,31.80035350571817,1,0,0,0,0,0,0,0
1985,843580.108726095,0.0,0.0,3.9922516109325e-09,0.0,0.0,9.26298562014215e-08,174414.656177659,368591.127036937,14173.2301858467,0.0,4.34331103477996e-07,269864.31356015,1.06792730594515e-06,16536.7817638935,0.0,6.01991608356505e-09,3.9922516109325e-09,0.0,1020938.70832225,-1.64,1010.006,25.64333333333333,0.170517743,-0.81225,0.3725,0.002,31.674259449119,1,0,0,0,0,0,0,0
1986,1020938.70832225,0.0,0.0,6006.84824174571,0.0,0.0,6508.42670520188,3.30042794883352e-08,1008291.54835751,2.0224626220516e-08,0.0,0.0,1.59698126539881e-08,5.43051268172854e-08,131.885017661589,0.0,5.32327088431775e-09,0.0,0.0,780737.319080473,5.2,1004.794,26.156666666666663,-1.2994893666666667,-0.87225,1.13,0.46,31.78162238135267,1,0,0,0,0,0,0,0
1987,780737.319080473,1.96779032380369e-08,560.95682528005,12695.2072989357,3.9699684488804e-09,0.0,4.21669355077725e-08,3.11040645777601e-08,767481.154956002,9.263259713327061e-09,0.0,0.0,2.29899607776359e-08,1.13997439818948e-07,5.29329126553748e-09,0.0,6.7617531699844606e-09,0.0,0.0,851134.598568929,3.62,1005.968,27.80333333333333,0.3326573833333333,-1.07675,1.4975,1.086,31.528236524382635,1,0,0,0,0,0,0,0
1988,851134.598568929,0.0,5.820924300502861e-09,6532.22667584921,4.60680458332264e-09,0.0,6814.9115635197,403722.288022385,434065.17230692,4.60680458332264e-09,0.0,1.18251687032876e-07,8.1492940204979e-08,2.43322425082375e-08,4.60680458332264e-09,0.0,5.820924300502861e-09,5.793391072357089e-09,0.0,1379369.76653295,1.21,1008.134,27.406666666666663,0.8647857866666667,-0.383,0.5325,-0.286,31.48124515476512,1,0,0,0,0,0,0,0
1989,1379369.76653295,0.0,1.0148316343717e-08,39050.5991434939,1631.85443605151,0.0,1.97356117547953e-07,86570.4268066248,1250869.72502813,9.79191316691768e-09,9.16630787476008e-09,2.90229584732625e-08,4.31303444672068e-08,1247.1611182917,2.20318046294116e-08,2.32183667772561e-08,7.61123725830531e-09,7.58248689665636e-09,0.0,1591425.18648978,-2.68,1011.742,24.93,0.90987403,2.3985,-1.0175,-0.0859999999999999,31.32763057680272,1,0,0,0,0,0,0,0
1990,1591425.18648978,0.0,2.54585852711053e-08,4.05342155850314e-08,0.0,0.0,1.33140910640605e-08,9.33481460050034e-08,792074.181830565,25116.4765357587,0.0,3.99422731880819e-08,1.1314926788431e-08,772146.242668685,7.820032864539211e-09,0.0,3.11160486710496e-08,2088.28545450842,0.0,1684654.87060508,-0.87,1010.906,26.686666666666667,-0.0613260966666666,1.68725,-0.76,-0.314,31.69971599151839,1,0,0,0,0,0,0,0
1991,1684654.87060508,0.0,1.45216125220437e-08,2.25345876880538e-08,2446.31050429707,0.0,0.0,2.69687089578247e-08,954824.079690286,1.64782411877803e-08,0.0,3.48685556190173e-08,1.34843544838847e-07,720017.363924799,4441.2484289395,0.0,8.29806429587195e-09,2925.86805650053,0.0,1461638.5858147,0.45,1011.244,27.036666666666665,-0.86051957,0.1492499999999999,-1.5550000000000002,-1.136,31.505268965194475,1,0,0,0,0,0,0,0
1992,1461638.5858147,0.0,7.1295606575580615e-09,7.092609020634021e-09,4.70413002379177e-09,0.0,0.0,9.50608087674408e-09,394531.994668672,1.71700745897551e-07,0.0,9.66768993610606e-09,1.18826011011931e-08,1066241.36924701,1.17603250647661e-08,0.0,4.75304043837204e-09,865.221898779114,0.0,2451734.91460459,2.14,1006.456,28.363333333333333,-0.05881037,1.06725,0.04,1.056,31.42808303548329,1,0,0,0,0,0,0,0
1993,2451734.91460459,0.0,0.0,5.344678205943781e-09,0.0,0.0,100366.256665957,712704.841944845,638576.414798764,1.07072596161112e-08,0.0,7.71666475425494e-08,615410.937758418,374484.406268351,2.40913341313303e-08,0.0,1392.63062415989,8799.42654397623,0.0,2062023.39943197,-0.94,1008.754,26.82333333333333,-2.2754968,1.5175,0.0775,1.686,31.46903316298528,1,0,0,0,0,0,0,0
1994,2062023.39943197,0.0,8.66820090260566e-09,3138.0810583256,1365.06426922141,0.0,23838.2984895964,3.46728036109283e-08,1322636.53214485,19833.5135331824,0.0,5.06417998013343e-08,691211.909936563,1.37400706340816e-08,1.65058878646665e-08,0.0,9.53502099242914e-08,8.244042381474851e-09,0.0,2198777.94068358,-0.63,1010.356,26.8,-1.9444107,0.15675,0.53,-0.53,31.59085414658731,1,0,0,0,0,0,0,0
1995,2198777.94068358,0.0,6.8950979884430805e-09,6.74439707431861e-09,240.762470498148,0.0,0.0,1012274.36267232,1174114.76128111,12148.0542545946,0.0,3.29127159845605e-07,1.75824998710406e-07,4.49176845203496e-06,6.58819523887475e-09,0.0,1.72377449711077e-08,2.02331912291433e-08,0.0,2383541.73513812,1.59,1008.562,27.66333333333333,-1.02555351,0.6405000000000001,-0.65,0.806,31.3801078725217,1,0,0,0,0,0,0,0
1996,2383541.73513812,0.0,0.0,35663.2823399376,3.27271570617693e-09,0.0,3.0119722311937e-08,3.10929991138278e-08,2341905.26475263,4214.61100071628,0.0,1.17132253485751e-08,8.182368186463411e-09,1.47192398921552e-08,1758.57704471812,0.0,1.47282627407655e-08,6.5418843942260604e-09,0.0,814336.197799176,0.86,1007.772,25.84,-0.49204,-1.16175,0.8275,0.642,31.49750472538507,1,0,0,0,0,0,0,0
1997,814336.197799176,0.0,0.0008963857817391,10456.9493118177,824.636540821817,0.0,593413.382587727,1463.53901417289,150356.315653665,0.0038004956762627,0.0,0.0,0.0028574057230692,53630.1072266333,0.0017317564459224,0.0,2601.0512630669,1590.20691522818,0.0,1185591.30318944,0.49,1008.67,26.23333333333333,-1.3694127,0.2004999999999999,0.2725,1.94,31.624789593824698,1,0,0,0,0,0,0,0
1998,1185591.30318944,0.0,0.0,1616.27877449024,0.0,0.0,0.0,9.60279929239396e-08,957262.241291818,8.581314409772592e-09,0.0,4.46890570593246e-08,226712.783122949,1.17343086167266e-08,5.46083644190582e-09,0.0,1.57422939217745e-08,4.6937234445395815e-09,0.0,3028936.64962732,4.58,1005.478,28.87333333333333,0.8962181933333333,-0.64725,1.2125,-1.068,31.431184370126296,1,0,0,0,0,0,0,0
1999,3028936.64962732,0.0,0.0,0.0,0.0,0.0,0.0,2028132.49256904,688616.328852843,38.8758469816484,0.0,3.53231658567199e-09,1106.66577731393,311042.286581127,3.5315508967327e-09,0.0,3.53165078611178e-09,3.53152635815374e-09,0.0,2189169.95364768,0.13,1009.446,25.21333333333333,1.38527183,0.1132499999999999,-1.0275,-2.122,31.67090238030277,1,0,0,0,0,0,0,0
2000,2189169.95364768,0.0,0.0,0.0,11.8454513199873,0.0,5994.05323232873,40387.3104103675,1861831.56074104,11052.9787606826,0.0,0.0,1922.91169605244,259857.140844817,0.0,0.0,8112.1525110636,5.3689696478594e-09,0.0,1186912.55495206,0.26,1008.446,25.11,1.5269583,0.7345,-1.515,-1.218,31.34106679460896,1,0,0,0,0,0,0,0
2001,1186912.55495206,0.0,0.0,55.3664802300998,0.0,0.0,11639.2776076288,1871.38703178611,1167710.21614416,974.450052062853,3.10880601198955e-09,11.0732961268463,1162.69608485333,3421.64847890156,66.4397762967003,0.0,5.6201564093658e-09,6.2455768112829215e-09,0.0,941300.532766827,1.5,1007.084,25.98333333333333,2.660991533333333,-1.4055,0.015,-1.642,31.62734210313256,1,0,0,0,0,0,0,0
2002,941300.532766827,0.0,10.8052530374182,0.0,0.0,0.0,7.45947383447626e-08,9903.0144088113,625825.295889401,204767.564320588,0.0,8095.76288245844,85372.1284523524,7234.11690859409,43.2210121753734,8.90122087847162e-08,37.8183861976326,10.8052530480746,0.0,4157797.34513923,-0.37,1009.196,26.52,2.0203324,0.56625,-1.08,-0.658,31.835213461918617,1,0,0,0,0,0,0,0
2003,4157797.34513923,0.0,0.0,0.0,0.0,0.0,2051.16774657631,802308.796826708,2422101.56698494,41421.5238420093,1.57078014377729e-09,47.0123878646724,269435.093626898,620197.121784919,47.0123878670205,0.0,188.049551448435,2.3594427643338703e-09,0.0,7525949.13672296,2.8,1005.066,27.56,1.86609866,-0.25075,1.315,0.124,31.29076632456993,1,0,0,0,0,0,0,0
2004,7525949.13672296,0.0,0.0,13.2585138311569,0.0,0.0,39954.2128738335,5559714.5741177,1213013.13415304,84.949876028748,0.0,3.861875732248291e-09,646231.010504353,56520.4843491603,10148.8363281517,0.0,3.84443235254419e-09,3.8420735847491e-09,268.676006852196,5224715.57924587,2.83,1008.564,27.0,0.38554044,-0.65775,-0.3775,0.16,31.535762359846885,1,0,0,0,0,0,0,0
2005,5224715.57924587,0.0,0.0,306.956264898706,287.751700399058,0.0,14.6758327494927,127914.746489427,4007257.57007096,277.284352231964,0.0,17.8963723393896,34671.4739623912,1053967.22420046,2.71998251376219e-09,0.0,2.71994727346446e-09,2.7199433876998304e-09,0.0,3342878.91777659,0.9,1008.15,27.293333333333333,-1.5064687166666668,-0.25825,-0.025,0.182,31.446986433285385,1,0,0,0,0,0,0,0
2006,3342878.91777659,0.0,0.0,6015.00169418383,4.03104410740263e-09,0.0,2.6908225396372703e-09,1774631.8424627,1366722.79401102,31485.8658864743,0.0,2.6908225396372703e-09,37516.6496544994,115780.485602792,10608.0072092546,0.0,72.4518897741386,45.8193658784357,0.0,4771232.68234795,0.37,1010.108,25.90333333333333,-1.04372476,-1.0085,0.02,-0.432,31.60625827134545,1,0,0,0,0,0,0,0
2007,4771232.68234795,0.0,0.0,0.0,0.0,0.0,1822.47544862809,2760468.64933077,1836230.7495599,12340.6681596462,0.0,3.28366455168492e-09,67960.4396480406,92409.7002009499,3.2806096258777203e-09,0.0,3.28148654051726e-09,3.28054753785514e-09,0.0,4706011.45544888,0.55,1009.826,27.316666666666663,-0.1777491063333333,1.04775,-0.73,-0.162,31.794008518332863,1,0,0,0,0,0,0,0
2008,4706011.45544888,0.0,0.0,3.31346010470188e-09,3.3133936676909703e-09,0.0,3.31376109440953e-09,860687.90830502,3797307.26418978,4217.83212627334,3.3135185110729e-09,3.31376109440953e-09,5381.48148886453,38416.9693389115,3.3133936676909703e-09,0.0,3.31348145673886e-09,3.31346010470188e-09,0.0,2369159.92845688,-1.1,1009.304,25.12333333333333,0.8532889033333333,0.7909999999999999,-1.2725,-1.83,31.23010551395701,1,0,0,0,0,0,0,0
2009,2369159.92845688,0.0,0.0,0.0,0.0,0.0,1340.20655608377,741790.312619227,1378015.36806703,116853.805058819,0.0,3.28717755607355e-09,109723.987646765,21436.2485089502,3.28598743581633e-09,0.0,3.2862369541938e-09,0.0,0.0,2815554.25637383,-3.96,1013.466,25.916666666666664,0.66514552,0.22425,-1.74,-0.584,31.84560984995828,1,0,0,0,0,0,0,0
2010,2815554.25637383,0.0,0.0,3.1254563354655e-09,3.12540859871208e-09,0.0,1625.25588977676,666876.142702747,1855297.3901087,15868.2069265275,0.0,3.12613983449751e-09,127545.81053188,148341.450214179,3.12540859871208e-09,0.0,3.1255707592229e-09,0.0,0.0,2249301.6714231,4.08,1006.49,28.136666666666667,1.6738658666666666,-2.6745,-0.0925,-1.524,31.85752287195689,1,0,0,0,0,0,0,0
2011,2249301.6714231,0.0,0.0,2.56698451023395e-09,2.5668915783360303e-09,0.0,827.069827887814,500487.025407792,1577882.43049714,7216.02690298199,0.0,2.56780172029575e-09,54790.9602076992,108098.158579582,2.5668915783360303e-09,0.0,2.5671123241115e-09,2.56698451023395e-09,0.0,2227427.39917791,-0.62,1011.132,25.306666666666665,0.3997249266666667,-0.32875,-1.645,-1.782,31.665613395064625,1,0,0,0,0,0,0,0
2012,2227427.39917791,0.0,0.0,96.1682307893999,2.86256526333156e-09,0.0,0.0,507010.239894829,1099434.14260847,623.631330654093,0.0,2.86387268515052e-09,481557.63723259,138224.739060253,384.672589529831,0.0,96.1682307894001,2.86265941105583e-09,0.0,1930231.20777954,0.27,1010.324,25.83333333333333,0.471165961,0.7505000000000001,-1.815,-2.348,31.83025782143892,1,0,0,0,0,0,0,0
2013,1930231.20777954,0.0,0.0,0.0,4.15216517752765e-09,0.0,1.7679138243708e-08,461079.569026728,1252746.00091394,258.780643531974,1.14135169505531e-08,172.520401722919,89671.5744372332,126216.502114517,4.15216517752765e-09,0.0,4.1552277572469e-09,86.2602418277753,0.0,1621056.34954884,-0.12,1010.312,26.35333333333333,1.1171110666666666,-1.63775,-1.3275,-1.098,31.74731499401491,1,0,0,0,0,0,0,0
2014,1621056.34954884,0.0,0.0,100.567470189927,0.0,0.0,119.853551294052,735455.243207066,693019.595413266,3907.46730385018,0.0,239.707313950701,117646.463620104,70466.8841989248,100.567470189928,0.0,3.29637184896267e-09,3.29616377743522e-09,0.0,8244122.353439,-0.57,1009.804,26.326666666666668,-0.7239368633333333,0.439,-0.4325,0.468,31.63939226919145,1,0,0,0,0,0,0,0
2015,8244122.353439,0.0,0.0,0.46774851302387,0.0,0.0,39747.7201641399,3087316.40837724,3182986.38969649,848.311778983062,0.0,0.0709541095271917,1800823.19644013,132394.059191204,0.0,0.0,5.72908818864434,0.0,0.0,4938142.33564765,0.34,1007.862,27.27,-0.7725732833333334,1.09625,1.5550000000000002,0.8999999999999999,31.53939086287769,1,0,0,0,0,0,0,0
2016,4938142.33564765,0.0,0.0,0.0,0.0,0.0,2701.89355589335,1123765.34372818,2498861.49729535,12833.2777791232,0.0,4.45836630198898e-09,533352.511012736,766627.812276353,4.45826701813556e-09,0.0,4.45819442169537e-09,4.45814593177377e-09,0.0,4430315.24499489,4.13,1006.588,29.130000000000003,0.0258715233333333,0.0627499999999999,0.9725,0.322,31.77866458181125,1,0,0,0,0,0,0,0
2017,4430315.24499489,0.0,0.0,0.0,0.0,0.0,68087.6063347,2677120.7196576,1614660.84343473,2.75069123667195,0.0,0.0,22310.6646846369,48130.9857687361,0.0,0.0,1.4201370391155,0.254286211816703,0.0,2873549.53051235,-2.51,1010.256,26.356666666666666,-0.81415251,1.10825,0.1575,-0.1,31.667139850445647,1,0,0,0,0,0,0,0
2018,2873549.53051235,0.0,0.0,0.0,0.0,0.0,2697.7931794825,1604307.41799767,1235289.75431945,10639.6519160961,41.1663793820297,34.9838273588289,3197.52982869421,17181.10597563,111.501954043315,0.0,0.0,48.6251345441742,0.0,1855135.62273109,-2.2,1012.978,25.793333333333333,-2.1559666666666666,-0.292,-0.1149999999999999,-0.342,31.545427187165217,1,0,0,0,0,0,0,0
2019,1855135.62273109,0.0,0.0,0.0,0.0,0.0,4174.7281639448,1230186.21043933,586590.71872317,457.583606882027,0.0,0.284602196305099,24204.1106338956,9521.96704205546,0.0,0.0,0.0,0.0195196116195635,0.0,4561207.96386517,1.25,1009.398,27.47,-1.5390468766666667,0.6655000000000001,-0.4175,0.166,31.46749196123721,1,0,0,0,0,0,0,0
2020,4561207.96386517,0.0,0.0,0.0,0.0,0.0,6736.57856983127,1839803.77592278,2693830.10412727,4.72790338023785e-09,0.0,4.72844122536954e-09,19769.6190255919,1067.88621967859,0.0,0.0,4.72807286377177e-09,0.0,0.0,6124320.60423967,-2.05,1011.762,27.22,-2.1876051333333333,2.22225,-1.16,-0.914,31.71672009710056,1,0,0,0,0,0,0,0
2021,6124320.60423967,1.05161506160963e-06,1.05142607478163e-06,1.05136646141431e-06,1.05131406838125e-06,1.05088788896461e-06,0.0002011685085566,2324175.58086693,2700670.95538421,22635.2479337718,1.05088788896461e-06,1400.86179311676,359397.015765946,716039.903527217,1.03875680003709,1.05161506160963e-06,1.05142607478163e-06,1.05136646141431e-06,1.05131406838125e-06,4645074.16052132,0.67,1010.636,25.65333333333333,-1.0642314366666668,-0.8255,-1.09,-1.754,31.832994930779755,1,0,0,0,0,0,0,0
2022,4645074.16052132,1.04248478570975e-06,1.04234650366073e-06,1.04232511711975e-06,1.04232447688522e-06,1.04247195246431e-06,8045.04392076137,1106969.18456073,2929533.34922464,8130.43204926644,1.04247195246431e-06,1.04248478570975e-06,420868.003307823,165740.139116154,1.04232447688522e-06,1.04248478570975e-06,215.150344426282,5572.85798709665,1.04232447688522e-06,2539456.19806688,-0.47,1010.524,25.746666666666663,-1.8655508666666665,0.72375,-2.1725,-2.174,31.794433230784403,1,0,0,0,0,0,0,0
2023,2539456.19806688,1.01559813089724e-06,1.01554029782639e-06,1.01552546312389e-06,1.01553067203741e-06,1.01558792679519e-06,1427.3332173873,474456.844944008,1167190.07717771,6488.24452799558,1.01558792679519e-06,9.29220725721122e-05,46741.7789867372,843127.315708655,0.0001580563599436,1.01559813089724e-06,24.6032442714631,1.01552546312389e-06,1.01553067203741e-06,4335434.71638467,0.4238333333333333,1011.92,26.063333333333333,-1.9729653666666669,-0.37825,-1.8875,-2.586,31.93395661596042,1,0,0,0,0,0,0,0
1963,1991859.77312533,0.0,0.0,0.0,0.0,0.0,0.0,50461.3757551481,62982.4174894183,0.0,0.0,2486.66695484511,1064195.56658017,706515.782617949,0.0,0.0,89605.8656558314,15612.098071971,0.0,2012601.39784247,2.32,1007.466,26.00333333333333,-0.2092234233333333,-1.25475,-0.06,-0.58,31.64945122733045,0,1,0,0,0,0,0,0
1964,2012601.39784247,0.0,2.77221554954786e-05,0.0,0.0,0.0,0.0,213842.155925381,155084.844135,88.3046712795609,0.0,397.259212380807,1246563.36415206,290239.284113091,0.0,0.0,28636.9320919308,77749.253513625,0.0,5170949.66989731,0.74,1009.076,27.33,0.6354695033333334,-0.4815,0.0725,-1.456,31.80659727552044,0,1,0,0,0,0,0,0
