Year,Total_Returns,AgeClass_0.1,AgeClass_0.2,AgeClass_0.3,AgeClass_0.4,AgeClass_0.5,AgeClass_1.1,AgeClass_1.2,AgeClass_1.3,AgeClass_1.4,AgeClass_1.5,AgeClass_2.1,AgeClass_2.2,AgeClass_2.3,AgeClass_2.4,AgeClass_3.1,AgeClass_3.2,AgeClass_3.3,AgeClass_3.4,Total_Returns_NextYear,Pacea_ALPI_Anomaly,npi_mean_NovMar,oni_mean_DecFeb,mei_mean_AprSep,npgo_mean_DecFeb,ao_mean_DecMar,pdo_mean_DecMar,pdo_mean_MaySep,sst_aprjul,sst_anom,sss_mayaug,total_spawners_y_minus_2,total_spawners_y_minus_3,total_spawners_y_minus_4,total_spawners_y_minus_2_to_4,River_Alagnak,River_Egegik,River_Igushik,River_Kvichak,River_Naknek,River_Nushagak,River_Wood
2006,3342878.91777659,0.0,0.0,6015.00169418383,4.03104410740263e-09,0.0,2.6908225396372703e-09,1774631.8424627,1366722.79401102,31485.8658864743,0.0,2.6908225396372703e-09,37516.6496544994,115780.485602792,10608.0072092546,0.0,72.4518897741386,45.8193658784357,0.0,4771232.68234795,0.37,1010.108,25.90333333333333,0.0016666666666666,-1.04372476,-1.0085,0.02,-0.432,5.3635267317295074,-0.2432415234320091,31.60625827134545,5400000.0,3676146.0,767000.0,9843146.0,1,0,0,0,0,0,0
2007,4771232.68234795,0.0,0.0,0.0,0.0,0.0,1822.47544862809,2760468.64933077,1836230.7495599,12340.6681596462,0.0,3.28366455168492e-09,67960.4396480406,92409.7002009499,3.2806096258777203e-09,0.0,3.28148654051726e-09,3.28054753785514e-09,0.0,4706011.45544888,0.55,1009.826,27.316666666666663,-0.7116666666666667,-0.1777491063333333,1.04775,-0.73,-0.162,5.147193297743797,-0.4595749574177192,31.794008518332863,4218990.0,5400000.0,3676146.0,13295136.0,1,0,0,0,0,0,0
2008,4706011.45544888,0.0,0.0,3.31346010470188e-09,3.3133936676909703e-09,0.0,3.31376109440953e-09,860687.90830502,3797307.26418978,4217.83212627334,3.3135185110729e-09,3.31376109440953e-09,5381.48148886453,38416.9693389115,3.3133936676909703e-09,0.0,3.31348145673886e-09,3.31346010470188e-09,0.0,2369159.92845688,-1.1,1009.304,25.12333333333333,-0.9516666666666668,0.8532889033333333,0.7909999999999999,-1.2725,-1.83,4.132083684206009,-1.4746845709555076,31.23010551395701,1773966.0,4218990.0,5400000.0,11392956.0,1,0,0,0,0,0,0
2009,2369159.92845688,0.0,0.0,0.0,0.0,0.0,1340.20655608377,741790.312619227,1378015.36806703,116853.805058819,0.0,3.28717755607355e-09,109723.987646765,21436.2485089502,3.28598743581633e-09,0.0,3.2862369541938e-09,0.0,0.0,2815554.25637383,-3.96,1013.466,25.916666666666664,-0.0066666666666666,0.66514552,0.22425,-1.74,-0.584,4.4400522112846375,-1.166716043876879,31.84560984995828,2470000.0,1773966.0,4218990.0,8462956.0,1,0,0,0,0,0,0
2010,2815554.25637383,0.0,0.0,3.1254563354655e-09,3.12540859871208e-09,0.0,1625.25588977676,666876.142702747,1855297.3901087,15868.2069265275,0.0,3.12613983449751e-09,127545.81053188,148341.450214179,3.12540859871208e-09,0.0,3.1255707592229e-09,0.0,0.0,2249301.6714231,4.08,1006.49,28.136666666666667,-1.3316666666666666,1.6738658666666666,-2.6745,-0.0925,-1.524,4.517939180135727,-1.0888290750257896,31.85752287195689,2180502.0,2470000.0,1773966.0,6424468.0,1,0,0,0,0,0,0
2011,2249301.6714231,0.0,0.0,2.56698451023395e-09,2.5668915783360303e-09,0.0,827.069827887814,500487.025407792,1577882.43049714,7216.02690298199,0.0,2.56780172029575e-09,54790.9602076992,108098.158579582,2.5668915783360303e-09,0.0,2.5671123241115e-09,2.56698451023395e-09,0.0,2227427.39917791,-0.62,1011.132,25.306666666666665,-1.096666666666667,0.3997249266666667,-0.32875,-1.645,-1.782,4.97808238863945,-0.6286858665220665,31.665613395064625,971000.0,2180502.0,2470000.0,5621502.0,1,0,0,0,0,0,0
2012,2227427.39917791,0.0,0.0,96.1682307893999,2.86256526333156e-09,0.0,0.0,507010.239894829,1099434.14260847,623.631330654093,0.0,2.86387268515052e-09,481557.63723259,138224.739060253,384.672589529831,0.0,96.1682307894001,2.86265941105583e-09,0.0,1930231.20777954,0.27,1010.324,25.83333333333333,-0.1583333333333333,0.471165961,0.7505000000000001,-1.815,-2.348,3.803842842578888,-1.8029254125826288,31.83025782143892,1190000.0,971000.0,2180502.0,4341502.0,1,0,0,0,0,0,0
2013,1930231.20777954,0.0,0.0,0.0,4.15216517752765e-09,0.0,1.7679138243708e-08,461079.569026728,1252746.00091394,258.780643531974,1.14135169505531e-08,172.520401722919,89671.5744372332,126216.502114517,4.15216517752765e-09,0.0,4.1552277572469e-09,86.2602418277753,0.0,1621056.34954884,-0.12,1010.312,26.35333333333333,-0.6233333333333333,1.1171110666666666,-1.63775,-1.3275,-1.098,5.305785238742828,-0.3009830164186882,31.74731499401491,883794.0,1190000.0,971000.0,3044794.0,1,0,0,0,0,0,0
2014,1621056.34954884,0.0,0.0,100.567470189927,0.0,0.0,119.853551294052,735455.243207066,693019.595413266,3907.46730385018,0.0,239.707313950701,117646.463620104,70466.8841989248,100.567470189928,0.0,3.29637184896267e-09,3.29616377743522e-09,0.0,8244122.353439,-0.57,1009.804,26.326666666666668,0.0383333333333333,-0.7239368633333333,0.439,-0.4325,0.468,6.838876903057098,1.2321086478955818,31.63939226919145,861747.0,883794.0,1190000.0,2935541.0,1,0,0,0,0,0,0
2015,8244122.353439,0.0,0.0,0.46774851302387,0.0,0.0,39747.7201641399,3087316.40837724,3182986.38969649,848.311778983062,0.0,0.0709541095271917,1800823.19644013,132394.059191204,0.0,0.0,5.72908818864434,0.0,0.0,4938142.33564765,0.34,1007.862,27.27,1.5233333333333334,-0.7725732833333334,1.09625,1.5550000000000002,0.8999999999999999,7.051612854003906,1.4448445988423897,31.53939086287769,1100000.0,861747.0,883794.0,2845541.0,1,0,0,0,0,0,0
1984,5458425.15926404,0.0,0.0,23353.2719200404,6464.60060398413,0.0,0.0,706929.194513017,219730.835599905,859.613493686518,0.0,22071.5574295589,1973576.03352205,2484584.88846867,0.0,0.0,13141.2240470647,7713.93966606405,0.0,8331666.15578183,1.68,1006.28,26.01333333333333,-0.2866666666666667,-0.1640481899999999,-0.3995,1.4825,0.116,5.851268410682678,0.2445001555211616,31.80035350571817,1034628.0,694680.0,1060860.0,2790168.0,0,1,0,0,0,0,0
1985,8331666.15578183,0.0,0.0,3.92480236971083e-09,0.0,0.0,1756.18974199461,593439.336698787,2450118.34732742,3.92085572175452e-09,0.0,45078.0150934052,4056129.29245678,1176188.83574639,3.92085572175452e-09,363.347519957434,3.92377545374332e-09,8592.79119707635,0.0,5506500.13137332,-1.64,1010.006,25.64333333333333,-0.635,0.170517743,-0.81225,0.3725,0.002,4.103607922792435,-1.503160332369082,31.674259449119,792282.0,1034628.0,694680.0,2521590.0,0,1,0,0,0,0,0
1986,5506500.13137332,0.0,0.0,896.933636128239,0.0,0.0,2413.37642764018,1215619.20920408,432085.826268265,4963.21046043584,0.0,11565.195699716,2883765.6916511,948854.162341329,1570.46002135397,0.0,4766.06566327571,0.0,0.0,6385229.4437274,5.2,1004.794,26.156666666666663,0.315,-1.2994893666666667,-0.87225,1.13,0.46,4.293108284473419,-1.3136599706880974,31.78162238135267,1165345.0,792282.0,1034628.0,2992255.0,0,1,0,0,0,0,0
1987,6385229.4437274,2.47291335486948e-09,2.48407928896819e-09,2.4857615800450502e-09,2.48806146532473e-09,0.0,484.08325696837,1279753.33388307,1929108.55719637,3247.1250334616,0.0,7273.00869965581,1689006.95305748,1470066.35522802,2.48806146532473e-09,0.0,6290.02737236589,0.0,0.0,8117564.37869095,3.62,1005.968,27.80333333333333,1.7283333333333333,0.3326573833333333,-1.07675,1.4975,1.086,5.768152952194214,0.1613846970326973,31.528236524382635,1095192.0,1165345.0,792282.0,3052819.0,0,1,0,0,0,0,0
1988,8117564.37869095,0.0,437.409441720984,1314.37297568597,2.55161569810346,0.0,434.777004877546,398395.698490898,2553114.46233311,6501.05954303463,0.0,85549.4640201912,3484607.88307377,1557303.2419347,3.27900019802924e-09,0.0,22289.9608311123,7613.49742614421,0.0,9807459.992326,1.21,1008.134,27.406666666666663,-1.16,0.8647857866666667,-0.383,0.5325,-0.286,5.871588349342346,0.2648200941808296,31.48124515476512,1150000.0,1095192.0,1165345.0,3410537.0,0,1,0,0,0,0,0
1989,9807459.992326,0.0,4.422743921346911e-09,143.680697333793,4.4222390905351405e-09,0.0,1408.97250800187,425954.881389059,637987.579001357,6397.3448609752,0.0001146090603467,33924.7866813519,5245773.72787418,3439216.6486598,4.4222390905351405e-09,1895.13948093012,13729.3222799437,1027.90877844224,0.0,12605427.226271,-2.68,1011.742,24.93,-0.8966666666666667,0.90987403,2.3985,-1.0175,-0.0859999999999999,5.350692093372345,-0.2560761617891716,31.32763057680272,1270000.0,1150000.0,1095192.0,3515192.0,0,1,0,0,0,0,0
1990,12605427.226271,0.0,1249.52314308957,2034.80014904503,0.0,0.0,4.6849870648238e-09,2415527.11158373,781317.551974892,5627.43918805922,0.0,10806.6344763956,4020182.86056915,5130350.33121676,16751.740061726,0.0,213206.33287632,8372.9010318328,0.0,9235470.32752669,-0.87,1010.906,26.686666666666667,0.1116666666666666,-0.0613260966666666,1.68725,-0.76,-0.314,5.563302576541901,-0.0434656786196159,31.69971599151839,1610000.0,1270000.0,1150000.0,4030000.0,0,1,0,0,0,0,0
1991,9235470.32752669,0.0,3.85457107039341e-09,2368.24470376159,3.85527560486302e-09,0.0,1175.82513345731,699118.622713006,3246243.1863537,2769.18963203962,0.0,69292.0860577992,4062145.44830156,1102467.0081613,8675.30453627574,0.0,4118.73343716697,37096.6784966189,0.0,17890992.6677803,0.45,1011.244,27.036666666666665,0.5566666666666666,-0.86051957,0.1492499999999999,-1.5550000000000002,-1.136,5.56310647726059,-0.0436617779009269,31.505268965194475,1610000.0,1610000.0,1270000.0,4490000.0,0,1,0,0,0,0,0
1992,17890992.6677803,0.0,4.57111688792456e-09,2318.39341444498,4.58349809849968e-09,0.0,0.0,296195.231657617,4224764.3198417,68372.9438783244,0.0,106273.639441212,8870956.78766811,4210470.4769184,4.58349809849968e-09,5631.41611790403,95077.4894715773,10931.9693709512,0.0,24250547.8608733,2.14,1006.456,28.363333333333333,1.0266666666666666,-0.05881037,1.06725,0.04,1.056,5.197712630033493,-0.4090556251280235,31.42808303548329,2190000.0,1610000.0,1610000.0,5410000.0,0,1,0,0,0,0,0
1993,24250547.8608733,0.0,0.0,5.106304564835941e-09,0.0,0.0,5.1052762792867e-09,199211.883823385,1049593.95412407,134446.605866714,0.0,37449.1652156503,11121318.3761393,11458635.4830289,56070.4398252779,0.0,154845.923740518,38976.0291095114,0.0,12738312.4809906,-0.94,1008.754,26.82333333333333,1.0116666666666667,-2.2754968,1.5175,0.0775,1.686,5.852703154087067,0.2459348989255501,31.46903316298528,2786925.0,2190000.0,1610000.0,6586925.0,0,1,0,0,0,0,0
1994,12738312.4809906,955.073498017671,4437.38210470837,7.3924145889256e-09,4.92815422736291e-09,0.0,1450.21363834284,393971.17983723,251240.483423863,5736.63360333349,0.0,73045.6067646731,5179386.21914642,6458564.46000748,44043.8780110238,2127.550880237,257263.589975468,66090.210099781,0.0,15374929.535914,-0.63,1010.356,26.8,0.5266666666666667,-1.9444107,0.15675,0.53,-0.53,5.565114378929138,-0.0416538762323783,31.59085414658731,1945632.0,2786925.0,2190000.0,6922557.0,0,1,0,0,0,0,0
1995,15374929.535914,0.0,1242.5107387753,741.722269616965,6.0001172161494815e-09,0.0,63.1647496854004,1208928.89659698,729603.397874664,4115.28109650475,0.0,18657.0438169981,8809854.6504351,4242640.52504539,3860.79366110212,2909.72803235142,189470.881551753,162840.940045053,0.0,12416197.4083175,1.59,1008.562,27.66333333333333,-0.2749999999999999,-1.02555351,0.6405000000000001,-0.65,0.806,5.187888652086258,-0.4188796030752586,31.3801078725217,1520000.0,1945632.0,2786925.0,6252557.0,0,1,0,0,0,0,0
1996,12416197.4083175,0.0,0.0,10943.3389728656,312.360153000869,0.0,3.2135999384712903e-09,239876.584152459,2874740.51729011,5081.91515712843,0.0,38890.8738274181,3223466.05149961,5980914.37495549,435.983434679026,0.0,13130.0753043045,28405.3335704703,0.0,7932122.50978972,0.86,1007.772,25.84,-0.7166666666666667,-0.49204,-1.16175,0.8275,0.642,5.587652027606964,-0.0191162275545524,31.49750472538507,1900000.0,1520000.0,1945632.0,5365632.0,0,1,0,0,0,0,0
1997,7932122.50978972,0.0,131.171809030848,0.002928067982461,1620.28441351974,0.0,7731.61327614933,117628.642903402,531796.340706028,25215.0563763987,0.0,30535.0373633574,4580342.54383062,2573855.01220895,32457.5450347705,2397.2549131397,9062.1179446729,19349.886081608,0.0,4689597.35140164,0.49,1008.67,26.23333333333333,1.653333333333333,-1.3694127,0.2004999999999999,0.2725,1.94,6.3439734280109406,0.737205172849424,31.624789593824698,1266692.0,1900000.0,1520000.0,4686692.0,0,1,0,0,0,0,0
1998,4689597.35140164,0.0,0.0,1.52389655318182e-09,0.0,0.0,3546.44628190767,249363.128415902,329344.10391587,2780.6605942448,0.0,67291.0248553182,800145.243182579,3190111.53283995,135.817716266584,0.0,38919.2617003516,7960.13189924405,0.0,6481074.18813977,4.58,1005.478,28.87333333333333,0.1016666666666666,0.8962181933333333,-0.64725,1.2125,-1.068,6.23176634311676,0.6249980879552437,31.431184370126296,1076460.0,1266692.0,1900000.0,4243152.0,0,1,0,0,0,0,0
1999,6481074.18813977,0.0,0.0,0.0,0.0,0.0,363.424524889434,1495268.13582122,493716.326715755,1.38862724300899,0.0,3043.05999239065,3805468.74727158,653288.021947111,9411.44106948318,0.0,1217.83436659715,19295.8078035045,0.0,8168699.04601649,0.13,1009.446,25.21333333333333,-1.1866666666666663,1.38527183,0.1132499999999999,-1.0275,-2.122,3.3756258487701416,-2.231142406391375,31.67090238030277,1104004.0,1076460.0,1266692.0,3447156.0,0,1,0,0,0,0,0
2000,8168699.04601649,0.0,0.0,0.0,0.423152146323219,0.0,0.0,412382.557954044,2696123.58303612,2.53891288215574,0.0,3483.7714829004,1726750.27502771,3299275.74998658,0.0,0.0,26806.4279155927,3873.71854851489,0.0,3566444.17896747,0.26,1008.446,25.11,-0.675,1.5269583,0.7345,-1.515,-1.218,5.518519550561905,-0.0882487045996116,31.34106679460896,1110938.0,1104004.0,1076460.0,3291402.0,0,1,0,0,0,0,0
2001,3566444.17896747,0.0,0.0,1.97596185893686,0.0,0.0,1.58076948838586,17162.1261780294,1386366.08215562,18707.3849906365,4.35174772764549e-09,18742.2858746211,542540.181669639,1539472.47498478,21866.7058078661,2445.90011229043,11312.0012296354,7825.47923299765,0.0,5544321.67311356,1.5,1007.084,25.98333333333333,-0.2383333333333333,2.660991533333333,-1.4055,0.015,-1.642,6.056779623031616,0.4500113678700996,31.62734210313256,1730000.0,1110938.0,1104004.0,3944942.0,0,1,0,0,0,0,0
2002,5544321.67311356,0.0,0.386150112917131,0.0,0.0,0.0,0.0,20334.5866728331,177854.741528293,21943.9358235991,0.0,12649.3265510701,3493430.96881301,1749165.38584548,13866.2393015284,9875.85862991541,30409.311589648,14790.9322080671,0.0,3217355.65031874,-0.37,1009.196,26.52,0.3616666666666667,2.0203324,0.56625,-1.08,-0.658,6.538191825151444,0.9314235699899268,31.835213461918617,1032138.0,1730000.0,1110938.0,3873076.0,0,1,0,0,0,0,0
